,t,label,d
0,t0,n0,35
1,t0,n1,40
2,t1,n2,21
3,t2,n3,29
4,t3,n4,30
5,t4,n5,18
6,t5,n6,10
7,t6,n7,27
8,t7,n8,14
9,t8,n9,5
10,t9,n10,31
11,t10,n11,9
12,t11,n12,13
13,t12,n13,22
14,t13,n14,9
15,t14,n15,15
16,t15,n16,8
17,t16,n17,15
18,t17,n18,10
19,t18,n19,17
20,t19,n20,2
21,t20,n21,5
22,t21,n22,6
23,t22,n23,9
24,t23,n24,6
25,t24,n25,16
26,t25,n26,12
27,t26,n27,7
28,t27,n28,6
29,t28,n29,15
30,t29,n30,7
31,t30,n31,9
32,t31,n32,13
33,t32,n33,9
34,t33,n34,4
35,t34,n35,3
36,t35,n36,2
37,t36,n37,5
38,t37,n38,7
39,t38,n39,4
40,t39,n40,30
41,t40,n41,6
42,t41,n42,17
43,t42,n43,12
44,t43,n44,5
45,t44,n45,3
46,t45,n46,4
47,t46,n47,2
48,t47,n48,2
49,t48,n49,5
50,t49,n50,10
51,t50,n51,8
52,t51,n52,11
53,t52,n53,3
54,t53,n54,11
55,t54,n55,2
56,t55,n56,5
57,t56,n57,2
58,t57,n58,5
59,t58,n59,2
60,t59,n60,6
61,t60,n61,7
62,t61,n62,4
63,t62,n63,8
64,t63,n64,7
65,t64,n65,5
66,t65,n66,4
67,t66,n67,4
68,t67,n68,3
69,t68,n69,3
70,t69,n70,4
71,t70,n71,7
72,t71,n72,2
73,t72,n73,7
74,t73,n74,3
75,t74,n75,6
76,t75,n76,2
77,t76,n77,2
78,t77,n78,5
79,t78,n79,6
80,t79,n80,2
81,t80,n81,11
82,t81,n82,3
83,t82,n83,7
84,t83,n84,8
85,t84,n85,5
86,t85,n86,6
87,t86,n87,5
88,t87,n88,7
89,t88,n89,2
90,t89,n90,8
91,t90,n91,3
92,t91,n92,2
93,t92,n93,2
94,t93,n94,2
95,t94,n95,3
96,t95,n96,3
97,t96,n97,4
98,t97,n98,5
99,t98,n99,2
100,t99,n100,6
101,t100,n101,4
102,t101,n102,7
103,t102,n103,9
104,t103,n104,4
105,t104,n105,3
106,t105,n106,5
107,t106,n107,3
108,t107,n108,6
109,t108,n109,3
110,t109,n110,3
111,t110,n111,2
112,t111,n112,6
113,t112,n113,3
114,t113,n114,6
115,t114,n115,6
116,t115,n116,6
117,t116,n117,3
118,t117,n118,6
119,t118,n119,3
120,t119,n120,3
121,t120,n121,4
122,t121,n122,4
123,t122,n123,4
124,t123,n124,4
125,t124,n125,4
126,t125,n126,2
127,t126,n127,3
128,t127,n128,9
129,t128,n129,3
130,t129,n130,7
131,t130,n131,5
132,t131,n132,2
133,t132,n133,5
134,t133,n134,3
135,t134,n135,3
136,t135,n136,2
137,t136,n137,4
138,t137,n138,7
139,t138,n139,4
140,t139,n140,2
141,t140,n141,4
142,t141,n142,3
143,t142,n143,5
144,t143,n144,3
145,t144,n145,6
146,t145,n146,3
147,t146,n147,2
148,t147,n148,4
149,t148,n149,7
150,t149,n150,5
151,t150,n151,7
152,t151,n152,3
153,t152,n153,3
154,t153,n154,4
155,t154,n155,10
156,t155,n156,5
157,t156,n157,2
158,t157,n158,3
159,t158,n159,3
160,t159,n160,4
161,t160,n161,3
162,t161,n162,3
163,t162,n163,2
164,t163,n164,3
165,t164,n165,2
166,t165,n166,2
167,t166,n167,3
168,t167,n168,7
169,t168,n169,4
170,t169,n170,3
171,t170,n171,7
172,t171,n172,6
173,t172,n173,3
174,t173,n174,2
175,t174,n175,2
176,t175,n176,4
177,t176,n177,2
178,t177,n178,6
179,t178,n179,5
180,t179,n180,4
181,t180,n181,3
182,t181,n182,2
183,t182,n183,2
184,t183,n184,4
185,t184,n185,2
186,t185,n186,2
187,t186,n187,4
188,t187,n188,2
189,t188,n189,3
190,t189,n190,5
191,t190,n191,3
192,t191,n192,5
193,t192,n193,2
194,t193,n194,4
195,t194,n195,3
196,t195,n196,3
197,t196,n197,2
198,t197,n198,4
199,t198,n199,4
200,t199,n200,4
201,t200,n201,3
202,t201,n202,3
203,t202,n203,2
204,t203,n204,5
205,t204,n205,2
206,t205,n206,3
207,t206,n207,2
208,t207,n208,2
209,t208,n209,2
210,t209,n210,4
211,t210,n211,2
212,t211,n212,3
213,t212,n213,6
214,t213,n214,8
215,t214,n215,3
216,t215,n216,2
217,t216,n217,2
218,t217,n218,3
219,t218,n219,2
220,t219,n220,3
221,t220,n221,2
222,t221,n222,2
223,t222,n223,4
224,t223,n224,2
225,t224,n225,2
226,t225,n226,2
227,t226,n227,3
228,t227,n228,2
229,t228,n229,2
230,t229,n230,3
231,t230,n231,2
232,t231,n232,3
233,t232,n233,3
234,t233,n234,3
235,t234,n235,6
236,t235,n236,2
237,t236,n237,2
238,t237,n238,2
239,t238,n239,2
240,t239,n240,4
241,t240,n241,2
242,t241,n242,2
243,t242,n243,4
244,t243,n244,2
245,t244,n245,3
246,t245,n246,2
247,t246,n247,4
248,t247,n248,3
249,t248,n249,2
250,t249,n250,2
251,t250,n251,2
252,t251,n252,2
253,t252,n253,4
254,t253,n254,3
255,t254,n255,2
256,t255,n256,3
257,t256,n257,4
258,t257,n258,3
259,t258,n259,4
260,t259,n260,3
261,t260,n261,3
262,t261,n262,3
263,t262,n263,2
264,t263,n264,3
265,t264,n265,3
266,t265,n266,2
267,t266,n267,4
268,t267,n268,3
269,t268,n269,2
270,t269,n270,3
271,t270,n271,2
272,t271,n272,4
273,t272,n273,3
274,t273,n274,3
275,t274,n275,2
276,t275,n276,5
277,t276,n277,5
278,t277,n278,4
279,t278,n279,2
280,t279,n280,2
281,t280,n281,4
282,t281,n282,2
283,t282,n283,3
284,t283,n284,2
285,t284,n285,4
286,t285,n286,2
287,t286,n287,3
288,t287,n288,2
289,t288,n289,2
290,t289,n290,3
291,t290,n291,2
292,t291,n292,2
293,t292,n293,2
294,t293,n294,2
295,t294,n295,3
296,t295,n296,2
297,t296,n297,2
298,t297,n298,4
299,t298,n299,2
300,t299,n300,2
301,t300,n301,3
302,t301,n302,2
303,t302,n303,2
304,t303,n304,2
305,t304,n305,2
306,t305,n306,3
307,t306,n307,3
308,t307,n308,2
309,t308,n309,3
310,t309,n310,2
311,t310,n311,2
312,t311,n312,2
313,t312,n313,2
314,t313,n314,5
315,t314,n315,3
316,t315,n316,2
317,t316,n317,3
318,t317,n318,2
319,t318,n319,3
320,t319,n320,3
321,t320,n321,4
322,t321,n322,3
323,t322,n323,2
324,t323,n324,3
325,t324,n325,2
326,t325,n326,2
327,t326,n327,2
328,t327,n328,2
329,t328,n329,2
330,t329,n330,3
331,t330,n331,2
332,t331,n332,2
333,t332,n333,4
334,t333,n334,2
335,t334,n335,2
336,t335,n336,3
337,t336,n337,2
338,t337,n338,2
339,t338,n339,2
340,t339,n340,2
341,t340,n341,3
342,t341,n342,2
343,t342,n343,2
344,t343,n344,2
