,t,n_start,n_end,weight,active
0,t0,n0,n1,0,1
1,t1,n0,n2,0,1
2,t1,n1,n2,0,1
3,t2,n2,n3,0,1
4,t2,n1,n3,0,1
5,t3,n2,n4,0,1
6,t3,n1,n4,0,1
7,t4,n2,n5,0,1
8,t4,n3,n5,0,1
9,t5,n5,n6,0,1
10,t5,n2,n6,0,1
11,t6,n3,n7,0,1
12,t6,n1,n7,0,1
13,t7,n3,n8,0,1
14,t7,n4,n8,0,1
15,t8,n6,n9,0,1
16,t8,n1,n9,0,1
17,t9,n9,n10,0,1
18,t9,n2,n10,0,1
19,t10,n2,n11,0,1
20,t10,n1,n11,0,1
21,t11,n5,n12,0,1
22,t11,n11,n12,0,1
23,t12,n10,n13,0,1
24,t12,n7,n13,0,1
25,t13,n9,n14,0,1
26,t13,n3,n14,0,1
27,t14,n5,n15,0,1
28,t14,n6,n15,0,1
29,t15,n2,n16,0,1
30,t15,n15,n16,0,1
31,t16,n5,n17,0,1
32,t16,n2,n17,0,1
33,t17,n2,n18,0,1
34,t17,n1,n18,0,1
35,t18,n12,n19,0,1
36,t18,n2,n19,0,1
37,t19,n11,n20,0,1
38,t19,n4,n20,0,1
39,t20,n12,n21,0,1
40,t20,n2,n21,0,1
41,t21,n9,n22,0,1
42,t21,n11,n22,0,1
43,t22,n0,n23,0,1
44,t22,n1,n23,0,1
45,t23,n7,n24,0,1
46,t23,n12,n24,0,1
47,t24,n3,n25,0,1
48,t24,n14,n25,0,1
49,t25,n15,n26,0,1
50,t25,n4,n26,0,1
51,t26,n16,n27,0,1
52,t26,n3,n27,0,1
53,t27,n7,n28,0,1
54,t27,n5,n28,0,1
55,t28,n4,n29,0,1
56,t28,n11,n29,0,1
57,t29,n5,n30,0,1
58,t29,n26,n30,0,1
59,t30,n4,n31,0,1
60,t30,n6,n31,0,1
61,t31,n4,n32,0,1
62,t31,n27,n32,0,1
63,t32,n3,n33,0,1
64,t32,n6,n33,0,1
65,t33,n26,n34,0,1
66,t33,n9,n34,0,1
67,t34,n2,n35,0,1
68,t34,n4,n35,0,1
69,t35,n4,n36,0,1
70,t35,n10,n36,0,1
71,t36,n24,n37,0,1
72,t36,n9,n37,0,1
73,t37,n4,n38,0,1
74,t37,n2,n38,0,1
75,t38,n2,n39,0,1
76,t38,n31,n39,0,1
77,t39,n10,n40,0,1
78,t39,n35,n40,0,1
79,t40,n11,n41,0,1
80,t40,n9,n41,0,1
81,t41,n18,n42,0,1
82,t41,n17,n42,0,1
83,t42,n9,n43,0,1
84,t42,n8,n43,0,1
85,t43,n12,n44,0,1
86,t43,n14,n44,0,1
87,t44,n36,n45,0,1
88,t44,n2,n45,0,1
89,t45,n38,n46,0,1
90,t45,n14,n46,0,1
91,t46,n4,n47,0,1
92,t46,n6,n47,0,1
93,t47,n46,n48,0,1
94,t47,n5,n48,0,1
95,t48,n43,n49,0,1
96,t48,n18,n49,0,1
97,t49,n31,n50,0,1
98,t49,n9,n50,0,1
99,t50,n10,n51,0,1
100,t50,n2,n51,0,1
101,t51,n6,n52,0,1
102,t51,n9,n52,0,1
103,t52,n24,n53,0,1
104,t52,n7,n53,0,1
105,t53,n21,n54,0,1
106,t53,n4,n54,0,1
107,t54,n38,n55,0,1
108,t54,n2,n55,0,1
109,t55,n29,n56,0,1
110,t55,n1,n56,0,1
111,t56,n6,n57,0,1
112,t56,n56,n57,0,1
113,t57,n2,n58,0,1
114,t57,n0,n58,0,1
115,t58,n19,n59,0,1
116,t58,n58,n59,0,1
117,t59,n4,n60,0,1
118,t59,n43,n60,0,1
119,t60,n14,n61,0,1
120,t60,n10,n61,0,1
121,t61,n50,n62,0,1
122,t61,n53,n62,0,1
123,t62,n54,n63,0,1
124,t62,n14,n63,0,1
125,t63,n48,n64,0,1
126,t63,n14,n64,0,1
127,t64,n17,n65,0,1
128,t64,n0,n65,0,1
129,t65,n26,n66,0,1
130,t65,n59,n66,0,1
131,t66,n64,n67,0,1
132,t66,n25,n67,0,1
133,t67,n37,n68,0,1
134,t67,n14,n68,0,1
135,t68,n58,n69,0,1
136,t68,n2,n69,0,1
137,t69,n18,n70,0,1
138,t69,n49,n70,0,1
139,t70,n17,n71,0,1
140,t70,n0,n71,0,1
141,t71,n35,n72,0,1
142,t71,n21,n72,0,1
143,t72,n7,n73,0,1
144,t72,n9,n73,0,1
145,t73,n11,n74,0,1
146,t73,n5,n74,0,1
147,t74,n60,n75,0,1
148,t74,n46,n75,0,1
149,t75,n16,n76,0,1
150,t75,n31,n76,0,1
151,t76,n56,n77,0,1
152,t76,n60,n77,0,1
153,t77,n22,n78,0,1
154,t77,n10,n78,0,1
155,t78,n41,n79,0,1
156,t78,n2,n79,0,1
157,t79,n14,n80,0,1
158,t79,n6,n80,0,1
159,t80,n5,n81,0,1
160,t80,n4,n81,0,1
161,t81,n31,n82,0,1
162,t81,n77,n82,0,1
163,t82,n38,n83,0,1
164,t82,n40,n83,0,1
165,t83,n2,n84,0,1
166,t83,n73,n84,0,1
167,t84,n0,n85,0,1
168,t84,n43,n85,0,1
169,t85,n58,n86,0,1
170,t85,n41,n86,0,1
171,t86,n4,n87,0,1
172,t86,n0,n87,0,1
173,t87,n26,n88,0,1
174,t87,n65,n88,0,1
175,t88,n10,n89,0,1
176,t88,n2,n89,0,1
177,t89,n17,n90,0,1
178,t89,n2,n90,0,1
179,t90,n78,n91,0,1
180,t90,n45,n91,0,1
181,t91,n14,n92,0,1
182,t91,n41,n92,0,1
183,t92,n11,n93,0,1
184,t92,n24,n93,0,1
185,t93,n84,n94,0,1
186,t93,n17,n94,0,1
187,t94,n1,n95,0,1
188,t94,n30,n95,0,1
189,t95,n9,n96,0,1
190,t95,n51,n96,0,1
191,t96,n60,n97,0,1
192,t96,n21,n97,0,1
193,t97,n24,n98,0,1
194,t97,n14,n98,0,1
195,t98,n96,n99,0,1
196,t98,n13,n99,0,1
197,t99,n56,n100,0,1
198,t99,n59,n100,0,1
