,t,n_start,n_end,weight,active
0,t0,n0,n1,0,1
1,t1,n1,n2,0,1
2,t1,n0,n2,0,1
3,t2,n0,n3,0,1
4,t2,n2,n3,0,1
5,t3,n2,n4,0,1
6,t3,n0,n4,0,1
7,t4,n0,n5,0,1
8,t4,n2,n5,0,1
9,t5,n0,n6,0,1
10,t5,n4,n6,0,1
11,t6,n3,n7,0,1
12,t6,n0,n7,0,1
13,t7,n3,n8,0,1
14,t7,n4,n8,0,1
15,t8,n0,n9,0,1
16,t8,n2,n9,0,1
17,t9,n1,n10,0,1
18,t9,n6,n10,0,1
19,t10,n7,n11,0,1
20,t10,n5,n11,0,1
21,t11,n4,n12,0,1
22,t11,n8,n12,0,1
23,t12,n1,n13,0,1
24,t12,n3,n13,0,1
25,t13,n10,n14,0,1
26,t13,n13,n14,0,1
27,t14,n14,n15,0,1
28,t14,n13,n15,0,1
29,t15,n2,n16,0,1
30,t15,n0,n16,0,1
31,t16,n7,n17,0,1
32,t16,n1,n17,0,1
33,t17,n1,n18,0,1
34,t17,n12,n18,0,1
35,t18,n10,n19,0,1
36,t18,n4,n19,0,1
37,t19,n1,n20,0,1
38,t19,n7,n20,0,1
39,t20,n2,n21,0,1
40,t20,n3,n21,0,1
41,t21,n12,n22,0,1
42,t21,n10,n22,0,1
43,t22,n19,n23,0,1
44,t22,n1,n23,0,1
45,t23,n14,n24,0,1
46,t23,n7,n24,0,1
47,t24,n3,n25,0,1
48,t24,n5,n25,0,1
49,t25,n10,n26,0,1
50,t25,n14,n26,0,1
51,t26,n13,n27,0,1
52,t26,n3,n27,0,1
53,t27,n1,n28,0,1
54,t27,n4,n28,0,1
55,t28,n17,n29,0,1
56,t28,n10,n29,0,1
57,t29,n10,n30,0,1
58,t29,n19,n30,0,1
59,t30,n29,n31,0,1
60,t30,n0,n31,0,1
61,t31,n6,n32,0,1
62,t31,n4,n32,0,1
63,t32,n12,n33,0,1
64,t32,n26,n33,0,1
65,t33,n30,n34,0,1
66,t33,n7,n34,0,1
67,t34,n11,n35,0,1
68,t34,n22,n35,0,1
69,t35,n32,n36,0,1
70,t35,n0,n36,0,1
71,t36,n0,n37,0,1
72,t36,n19,n37,0,1
73,t37,n3,n38,0,1
74,t37,n4,n38,0,1
75,t38,n28,n39,0,1
76,t38,n0,n39,0,1
77,t39,n7,n40,0,1
78,t39,n18,n40,0,1
79,t40,n10,n41,0,1
80,t40,n40,n41,0,1
81,t41,n10,n42,0,1
82,t41,n11,n42,0,1
83,t42,n13,n43,0,1
84,t42,n1,n43,0,1
85,t43,n25,n44,0,1
86,t43,n29,n44,0,1
87,t44,n44,n45,0,1
88,t44,n10,n45,0,1
89,t45,n40,n46,0,1
90,t45,n23,n46,0,1
91,t46,n4,n47,0,1
92,t46,n0,n47,0,1
93,t47,n29,n48,0,1
94,t47,n27,n48,0,1
95,t48,n25,n49,0,1
96,t48,n13,n49,0,1
97,t49,n1,n50,0,1
98,t49,n38,n50,0,1
99,t50,n3,n51,0,1
100,t50,n23,n51,0,1
101,t51,n8,n52,0,1
102,t51,n13,n52,0,1
103,t52,n7,n53,0,1
104,t52,n10,n53,0,1
105,t53,n42,n54,0,1
106,t53,n10,n54,0,1
107,t54,n25,n55,0,1
108,t54,n43,n55,0,1
109,t55,n5,n56,0,1
110,t55,n49,n56,0,1
111,t56,n54,n57,0,1
112,t56,n42,n57,0,1
113,t57,n18,n58,0,1
114,t57,n21,n58,0,1
115,t58,n4,n59,0,1
116,t58,n51,n59,0,1
117,t59,n33,n60,0,1
118,t59,n32,n60,0,1
119,t60,n1,n61,0,1
120,t60,n8,n61,0,1
121,t61,n40,n62,0,1
122,t61,n1,n62,0,1
123,t62,n32,n63,0,1
124,t62,n52,n63,0,1
125,t63,n26,n64,0,1
126,t63,n11,n64,0,1
127,t64,n26,n65,0,1
128,t64,n54,n65,0,1
129,t65,n15,n66,0,1
130,t65,n7,n66,0,1
131,t66,n7,n67,0,1
132,t66,n51,n67,0,1
133,t67,n16,n68,0,1
134,t67,n31,n68,0,1
135,t68,n60,n69,0,1
136,t68,n3,n69,0,1
137,t69,n13,n70,0,1
138,t69,n31,n70,0,1
139,t70,n7,n71,0,1
140,t70,n0,n71,0,1
141,t71,n23,n72,0,1
142,t71,n40,n72,0,1
143,t72,n3,n73,0,1
144,t72,n42,n73,0,1
145,t73,n42,n74,0,1
146,t73,n2,n74,0,1
147,t74,n14,n75,0,1
148,t74,n2,n75,0,1
149,t75,n8,n76,0,1
150,t75,n52,n76,0,1
151,t76,n1,n77,0,1
152,t76,n40,n77,0,1
153,t77,n43,n78,0,1
154,t77,n11,n78,0,1
155,t78,n61,n79,0,1
156,t78,n73,n79,0,1
157,t79,n12,n80,0,1
158,t79,n27,n80,0,1
159,t80,n10,n81,0,1
160,t80,n64,n81,0,1
161,t81,n3,n82,0,1
162,t81,n1,n82,0,1
163,t82,n26,n83,0,1
164,t82,n75,n83,0,1
165,t83,n5,n84,0,1
166,t83,n79,n84,0,1
167,t84,n2,n85,0,1
168,t84,n4,n85,0,1
169,t85,n62,n86,0,1
170,t85,n7,n86,0,1
171,t86,n3,n87,0,1
172,t86,n32,n87,0,1
173,t87,n19,n88,0,1
174,t87,n22,n88,0,1
175,t88,n5,n89,0,1
176,t88,n71,n89,0,1
177,t89,n67,n90,0,1
178,t89,n39,n90,0,1
179,t90,n25,n91,0,1
180,t90,n7,n91,0,1
181,t91,n15,n92,0,1
182,t91,n68,n92,0,1
183,t92,n64,n93,0,1
184,t92,n3,n93,0,1
185,t93,n17,n94,0,1
186,t93,n40,n94,0,1
187,t94,n7,n95,0,1
188,t94,n17,n95,0,1
189,t95,n23,n96,0,1
190,t95,n1,n96,0,1
191,t96,n54,n97,0,1
192,t96,n1,n97,0,1
193,t97,n19,n98,0,1
194,t97,n4,n98,0,1
195,t98,n75,n99,0,1
196,t98,n1,n99,0,1
197,t99,n61,n100,0,1
198,t99,n50,n100,0,1
199,t100,n50,n101,0,1
200,t100,n3,n101,0,1
201,t101,n17,n102,0,1
202,t101,n41,n102,0,1
203,t102,n14,n103,0,1
204,t102,n102,n103,0,1
205,t103,n52,n104,0,1
206,t103,n1,n104,0,1
207,t104,n15,n105,0,1
208,t104,n40,n105,0,1
209,t105,n51,n106,0,1
210,t105,n70,n106,0,1
211,t106,n88,n107,0,1
212,t106,n3,n107,0,1
213,t107,n13,n108,0,1
214,t107,n102,n108,0,1
215,t108,n17,n109,0,1
216,t108,n0,n109,0,1
217,t109,n44,n110,0,1
218,t109,n103,n110,0,1
219,t110,n84,n111,0,1
220,t110,n15,n111,0,1
221,t111,n23,n112,0,1
222,t111,n4,n112,0,1
223,t112,n50,n113,0,1
224,t112,n33,n113,0,1
225,t113,n84,n114,0,1
226,t113,n9,n114,0,1
227,t114,n71,n115,0,1
228,t114,n15,n115,0,1
229,t115,n90,n116,0,1
230,t115,n81,n116,0,1
231,t116,n10,n117,0,1
232,t116,n4,n117,0,1
233,t117,n4,n118,0,1
234,t117,n19,n118,0,1
235,t118,n1,n119,0,1
236,t118,n90,n119,0,1
237,t119,n32,n120,0,1
238,t119,n43,n120,0,1
239,t120,n104,n121,0,1
240,t120,n49,n121,0,1
241,t121,n95,n122,0,1
242,t121,n29,n122,0,1
243,t122,n5,n123,0,1
244,t122,n85,n123,0,1
245,t123,n43,n124,0,1
246,t123,n42,n124,0,1
247,t124,n105,n125,0,1
248,t124,n61,n125,0,1
249,t125,n103,n126,0,1
250,t125,n87,n126,0,1
251,t126,n16,n127,0,1
252,t126,n43,n127,0,1
253,t127,n13,n128,0,1
254,t127,n1,n128,0,1
255,t128,n90,n129,0,1
256,t128,n4,n129,0,1
257,t129,n7,n130,0,1
258,t129,n33,n130,0,1
259,t130,n41,n131,0,1
260,t130,n19,n131,0,1
261,t131,n13,n132,0,1
262,t131,n12,n132,0,1
263,t132,n49,n133,0,1
264,t132,n90,n133,0,1
265,t133,n42,n134,0,1
266,t133,n5,n134,0,1
267,t134,n86,n135,0,1
268,t134,n61,n135,0,1
269,t135,n30,n136,0,1
270,t135,n106,n136,0,1
271,t136,n100,n137,0,1
272,t136,n40,n137,0,1
273,t137,n83,n138,0,1
274,t137,n109,n138,0,1
275,t138,n1,n139,0,1
276,t138,n134,n139,0,1
277,t139,n17,n140,0,1
278,t139,n65,n140,0,1
279,t140,n38,n141,0,1
280,t140,n25,n141,0,1
281,t141,n75,n142,0,1
282,t141,n83,n142,0,1
283,t142,n84,n143,0,1
284,t142,n2,n143,0,1
285,t143,n133,n144,0,1
286,t143,n84,n144,0,1
287,t144,n10,n145,0,1
288,t144,n81,n145,0,1
289,t145,n108,n146,0,1
290,t145,n5,n146,0,1
291,t146,n0,n147,0,1
292,t146,n98,n147,0,1
293,t147,n40,n148,0,1
294,t147,n138,n148,0,1
295,t148,n63,n149,0,1
296,t148,n24,n149,0,1
297,t149,n40,n150,0,1
298,t149,n10,n150,0,1
299,t150,n26,n151,0,1
300,t150,n8,n151,0,1
301,t151,n13,n152,0,1
302,t151,n16,n152,0,1
303,t152,n12,n153,0,1
304,t152,n58,n153,0,1
305,t153,n7,n154,0,1
306,t153,n107,n154,0,1
307,t154,n30,n155,0,1
308,t154,n50,n155,0,1
309,t155,n112,n156,0,1
310,t155,n2,n156,0,1
311,t156,n63,n157,0,1
312,t156,n141,n157,0,1
313,t157,n52,n158,0,1
314,t157,n42,n158,0,1
315,t158,n6,n159,0,1
316,t158,n81,n159,0,1
317,t159,n5,n160,0,1
318,t159,n4,n160,0,1
319,t160,n100,n161,0,1
320,t160,n15,n161,0,1
321,t161,n31,n162,0,1
322,t161,n3,n162,0,1
323,t162,n0,n163,0,1
324,t162,n1,n163,0,1
325,t163,n32,n164,0,1
326,t163,n135,n164,0,1
327,t164,n129,n165,0,1
328,t164,n156,n165,0,1
329,t165,n138,n166,0,1
330,t165,n15,n166,0,1
331,t166,n1,n167,0,1
332,t166,n121,n167,0,1
333,t167,n0,n168,0,1
334,t167,n30,n168,0,1
335,t168,n83,n169,0,1
336,t168,n131,n169,0,1
337,t169,n112,n170,0,1
338,t169,n125,n170,0,1
339,t170,n0,n171,0,1
340,t170,n159,n171,0,1
341,t171,n81,n172,0,1
342,t171,n116,n172,0,1
343,t172,n40,n173,0,1
344,t172,n14,n173,0,1
345,t173,n4,n174,0,1
346,t173,n112,n174,0,1
347,t174,n0,n175,0,1
348,t174,n40,n175,0,1
349,t175,n16,n176,0,1
350,t175,n155,n176,0,1
351,t176,n32,n177,0,1
352,t176,n25,n177,0,1
353,t177,n29,n178,0,1
354,t177,n131,n178,0,1
355,t178,n10,n179,0,1
356,t178,n0,n179,0,1
357,t179,n173,n180,0,1
358,t179,n83,n180,0,1
359,t180,n63,n181,0,1
360,t180,n12,n181,0,1
361,t181,n13,n182,0,1
362,t181,n145,n182,0,1
363,t182,n121,n183,0,1
364,t182,n37,n183,0,1
365,t183,n14,n184,0,1
366,t183,n112,n184,0,1
367,t184,n143,n185,0,1
368,t184,n158,n185,0,1
369,t185,n51,n186,0,1
370,t185,n152,n186,0,1
